datetime,open,high,low,close,volume
2023-01-27 13:47:00,179.4,179.6,179.39,179.437,546661
2023-01-27 13:48:00,179.425,179.6899,179.2,179.43,619679
2023-01-27 13:49:00,179.455,179.61,179.31,179.55,357194
2023-01-27 13:50:00,179.552,180.14,179.36,180.07,865458
2023-01-27 13:51:00,180.1,180.45,180.02,180.43,911473
2023-01-27 13:52:00,180.43,180.6,180.09,180.18,1017113.0
2023-01-27 13:53:00,180.185,180.24,180.01,180.1699,428342
2023-01-27 13:54:00,180.16,180.3299,180.082,180.16,401206
2023-01-27 13:55:00,180.1682,180.44,180.1,180.4,495122
2023-01-27 13:56:00,180.4,180.68,180.27,180.4221,854341
2023-01-27 13:57:00,180.44,180.6366,180.12,180.23,624160
2023-01-27 13:58:00,180.205,180.2051,179.4,179.65,924362
2023-01-27 13:59:00,179.656,179.71,178.97,179.285,857437
2023-01-27 14:00:00,179.28,179.64,179.27,179.535,473426
2023-01-27 14:01:00,179.549,179.93,179.5201,179.9,574989
2023-01-27 14:02:00,179.908,179.9099,179.55,179.75,410100
2023-01-27 14:03:00,179.755,179.91,179.6,179.778,410568
2023-01-27 14:04:00,179.79,180.09,179.53,179.655,614633
2023-01-27 14:05:00,179.67,179.69,179.56,179.6112,294581
2023-01-27 14:06:00,179.62,179.62,179.18,179.42,542821
2023-01-27 14:07:00,179.43,179.51,179.26,179.33,374382
2023-01-27 14:08:00,179.3318,179.76,179.3,179.55,529616
2023-01-27 14:09:00,179.54,179.64,179.4,179.6357,319542
2023-01-27 14:10:00,179.63,180,179.62,179.885,591364
2023-01-27 14:11:00,179.8701,179.96,179.56,179.6,439135
2023-01-27 14:12:00,179.63,179.66,179.25,179.2899,579058
2023-01-27 14:13:00,179.29,179.3239,178.92,179.0101,628329
2023-01-27 14:14:00,179.01,179.06,177.54,177.84,1743712.0
2023-01-27 14:15:00,177.85,178.44,177.75,178.09,829859
2023-01-27 14:16:00,178.0939,178.25,177.81,178.1196,630714
2023-01-27 14:17:00,178.0881,178.35,177.95,178.1514,601865
2023-01-27 14:18:00,178.155,178.79,177.98,178.65,710970
2023-01-27 14:19:00,178.625,179.08,178.6,178.88,729113
2023-01-27 14:20:00,178.8999,179.05,178.5468,178.6,564309
2023-01-27 14:21:00,178.59,178.92,178.5001,178.805,476519
2023-01-27 14:22:00,178.82,178.95,178.53,178.8821,513562
2023-01-27 14:23:00,178.88,179.47,178.8601,179.3331,992117
2023-01-27 14:24:00,179.3398,179.72,179.21,179.48,720234
2023-01-27 14:25:00,179.476,179.57,179.06,179.1734,511840
2023-01-27 14:26:00,179.182,179.3493,178.99,179.235,544299
2023-01-27 14:27:00,179.2186,179.7,179.21,179.65,600931
2023-01-27 14:28:00,179.65,179.894,179.48,179.7828,648295
2023-01-27 14:29:00,179.77,179.85,179.56,179.74,422957
2023-01-27 14:30:00,179.745,180,179.46,179.6575,792495
2023-01-27 14:31:00,179.6666,179.87,179.61,179.7401,448844
2023-01-27 14:32:00,179.75,179.76,179.5,179.6299,471168
2023-01-27 14:33:00,179.61,179.88,179.5,179.695,390886
2023-01-27 14:34:00,179.7,179.89,179.54,179.54,439139
2023-01-27 14:35:00,179.51,179.53,179.18,179.4,666734
2023-01-27 14:36:00,179.41,179.74,179.22,179.735,527465
2023-01-27 14:37:00,179.7399,179.8,179.47,179.517,520309
2023-01-27 14:38:00,179.51,179.5173,179.03,179.0564,556921
2023-01-27 14:39:00,179.065,179.29,178.91,179.12,470761
2023-01-27 14:40:00,179.1,179.17,178.88,179.01,537188
2023-01-27 14:41:00,179,179.05,178.65,178.7003,581975
2023-01-27 14:42:00,178.7,178.9,178.37,178.37,618324
2023-01-27 14:43:00,178.392,178.91,178.31,178.88,712338
2023-01-27 14:44:00,178.8952,179.35,178.88,179.21,853543
2023-01-27 14:45:00,179.228,179.25,178.7601,178.8427,561771
2023-01-27 14:46:00,178.8374,179.1762,178.77,179.04,541115
2023-01-27 14:47:00,179.02,179.07,178.91,178.96,468200
2023-01-27 14:48:00,178.96,179.13,178.81,178.9,543896
2023-01-27 14:49:00,178.905,179.15,178.87,179.125,559167
